LP;LIMIT.PARAMETER
LR;LIMIT.REFERENCE
LRT;LOCAL.REF.TABLE
LT;LOCAL.TABLE
MASF;MB.APP.STATIC.FIELDS
MB.CA;MB.CATEGORY.CREATE
MB.LANG.UP;E.MB.UPLOAD.LANGUAGE.INFO
MBOR;MB.BUILD.OFS.REC
MD;MD.DEAL
MEMI;MB.EXTRACT.MENU.ITEMS
MF1;PASSWORD 2 MF1
MF2;PASSWORD 2 MF2
MF3;PASSWORD 2 MF3
MG;MG.MORTGAGE
MG.ENQ;MG.BALANCE.ENQUIRY
MGP;MG.PARAMETER
MIDB;MI.DB.DEFINITION
MM;MM.MONEY.MARKET
MOAF;MB.OFS.AUTO.FUNCTION
MON;DE.MONITOR
MVL;MB.VALIDATION.LINK
MVW;MB.VALIDATION.WIZARD
NP;NETTING
OFSS;OFS.SOURCE
ORD;OFS.REQUEST.DETAIL
PAO;PW.ACTIVITY.OBJECT
PAR;PW.PARTICIPANT;
PAT;PW.ACTIVITY.TXN
PD;PD.PAYMENT.DUE
PDB;PD.BALANCES
PDC;PGM.DATA.CONTROL
PDP;PD.PARAMETER
PEVAL;OL.VAL.REPS V
PF;PGM.FILE
PH;EB.PHANTOM
PI;PERIODIC.INTEREST
POS;POSITION.TRANSFER
PP;POLICY.PARAMETER
PRE;PRE.SYNDICATION.FILE
PS;PAYMENT.STOP
PTA;PM.TRAN.ACTIVITY
PWA;PW.ACTIVITY
PWD;PW.PROCESS.DEFINITION
PWP;PW.PROCESS
PWT;PW.TRANSITION;
QA;QA.LO
QASF;QA.SELECT.FILE
QASP;QA.SELECT.FILE
QAUFR;QA.UPDATE.FILE.RECS
QS;DE.MM.DISPLAY
RANGE;RE.STAT.RANGE
RBM;REBUILD.BAL.MVMT V MAN.BUILD
RC;REPORT.CONTROL
REP1;REPGEN.CREATE
REP2;REPGEN.SOURCE
REP3;REPGEN.SORT V
REP4;REPGEN.OUTPUT V
REQUEST;RE.STAT.REQUEST
S.O;STANDING.ORDER
SAM;SEC.ACC.MASTER
SAT;SUB.ASSET.TYPE
